,accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,day_time,year
13,13,Pune,Maharashtra,18.532452,73.841799,2024-03-25,8:00,8,Monday,False,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,True,Moring,2024
14,14,Chandigarh,Punjab,30.721892,76.711388,2025-02-09,18:00,18,Sunday,True,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,True,Evening,2025
15,15,Chandigarh,Punjab,30.772308,76.768413,2024-03-18,8:00,8,Monday,False,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,True,Moring,2024
16,16,Hyderabad,Telangana,17.382285,78.551704,2023-08-03,11:00,11,Thursday,False,urban,6,0,rain,low,20,low,overspeeding,major,5,3,False,Moring,2023
17,17,Chennai,Tamil Nadu,13.161404,80.197819,2023-09-26,21:00,21,Tuesday,False,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,False,Night,2023
18,18,Hyderabad,Telangana,17.570411,78.310647,2024-08-14,18:00,18,Wednesday,False,urban,4,1,fog,low,21,high,distraction,fatal,1,1,True,Evening,2024
19,19,Chandigarh,Punjab,30.629812,76.765481,2024-02-04,2:00,2,Sunday,True,urban,5,1,fog,low,36,low,poor road,minor,2,0,False,Moring,2024
20,20,Kolkata,West Bengal,22.459848,88.361745,2022-11-04,1:00,1,Friday,False,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,False,Moring,2022
21,21,Kolkata,West Bengal,22.692541,88.209956,2023-12-09,0:00,0,Saturday,True,urban,3,0,fog,low,25,medium,weather,minor,4,1,False,Moring,2023
22,22,Bangalore,Karnataka,12.911401,77.624696,2024-08-06,3:00,3,Tuesday,False,urban,1,0,rain,low,26,medium,distraction,major,3,1,False,Moring,2024
23,23,Chennai,Tamil Nadu,12.98416,80.153974,2023-07-26,23:00,23,Wednesday,False,urban,2,0,clear,high,36,medium,distraction,minor,3,2,False,Night,2023
24,24,Delhi,Delhi,28.528171,77.003017,2023-03-26,1:00,1,Sunday,True,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,False,Moring,2023
25,25,Delhi,Delhi,28.631253,77.168852,2022-11-02,14:00,14,Wednesday,False,highway,4,0,rain,low,32,high,overspeeding,major,1,0,False,Afternoon,2022
26,26,Chennai,Tamil Nadu,12.964354,80.262971,2024-10-11,13:00,13,Friday,False,urban,6,0,clear,high,39,high,weather,major,1,1,False,Afternoon,2024
27,27,Chennai,Tamil Nadu,13.171632,80.200311,2023-09-05,5:00,5,Tuesday,False,highway,4,1,rain,medium,29,high,weather,minor,1,1,False,Moring,2023
28,28,Mumbai,Maharashtra,18.876038,72.816062,2024-01-09,8:00,8,Tuesday,False,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,True,Moring,2024
29,29,Delhi,Delhi,28.494878,77.089734,2025-04-08,17:00,17,Tuesday,False,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,True,Evening,2025
30,30,Bangalore,Karnataka,13.181455,77.704682,2023-05-21,17:00,17,Sunday,True,rural,3,1,clear,high,36,high,distraction,minor,1,1,True,Evening,2023
31,31,Mumbai,Maharashtra,19.277812,72.889938,2024-12-31,7:00,7,Tuesday,False,rural,6,0,clear,high,24,low,poor road,minor,3,1,False,Moring,2024
32,32,Kolkata,West Bengal,22.644485,88.376914,2024-10-11,7:00,7,Friday,False,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,False,Moring,2024
33,33,Bangalore,Karnataka,13.007483,77.745779,2023-10-09,3:00,3,Monday,False,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,False,Moring,2023
34,34,Delhi,Delhi,28.767686,77.102505,2022-06-02,17:00,17,Thursday,False,rural,1,1,fog,low,27,medium,poor road,minor,5,2,True,Evening,2022
35,35,Chandigarh,Punjab,30.79305,76.864728,2023-12-21,4:00,4,Thursday,False,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,False,Moring,2023
36,36,Delhi,Delhi,28.513789,77.26605,2024-01-02,14:00,14,Tuesday,False,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,False,Afternoon,2024
37,37,Chennai,Tamil Nadu,12.941766,80.271836,2023-02-19,18:00,18,Sunday,True,highway,5,1,clear,high,32,low,weather,fatal,4,4,True,Evening,2023
38,38,Pune,Maharashtra,18.497326,73.919761,2023-12-04,6:00,6,Monday,False,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,False,Moring,2023
39,39,Kolkata,West Bengal,22.568337,88.326718,2023-09-02,1:00,1,Saturday,True,rural,4,1,rain,medium,30,high,weather,minor,4,3,False,Moring,2023
40,40,Mumbai,Maharashtra,18.945509,72.865677,2024-11-19,22:00,22,Tuesday,False,highway,5,1,rain,medium,40,high,distraction,minor,2,2,False,Night,2024
41,41,Chandigarh,Punjab,30.739178,76.722246,2023-07-21,9:00,9,Friday,False,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,True,Moring,2023
42,42,Hyderabad,Telangana,17.36441,78.442288,2022-03-01,22:00,22,Tuesday,False,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,False,Night,2022
43,43,Chennai,Tamil Nadu,13.174093,80.150346,2025-01-13,13:00,13,Monday,False,highway,2,1,clear,high,20,low,weather,minor,1,1,False,Afternoon,2025
44,44,Chandigarh,Punjab,30.75772,76.718682,2022-11-01,0:00,0,Tuesday,False,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,False,Moring,2022
45,45,Bangalore,Karnataka,13.032625,77.614829,2024-06-21,9:00,9,Friday,False,urban,2,1,rain,medium,21,high,distraction,minor,1,1,True,Moring,2024
46,46,Chandigarh,Punjab,30.774779,76.862232,2025-04-11,11:00,11,Friday,False,urban,6,1,rain,low,31,low,poor road,major,4,4,False,Moring,2025
47,47,Delhi,Delhi,28.683622,77.273941,2023-02-06,15:00,15,Monday,False,rural,2,1,rain,medium,16,medium,poor road,major,3,3,False,Afternoon,2023
48,48,Hyderabad,Telangana,17.384544,78.420669,2022-05-23,14:00,14,Monday,False,highway,4,0,rain,low,22,high,weather,major,2,0,False,Afternoon,2022
49,49,Hyderabad,Telangana,17.217784,78.280672,2024-12-23,13:00,13,Monday,False,rural,3,1,fog,low,31,medium,distraction,major,2,2,False,Afternoon,2024
50,50,Pune,Maharashtra,18.482992,73.944129,2024-02-29,9:00,9,Thursday,False,highway,2,1,clear,high,32,high,overspeeding,major,3,1,True,Moring,2024
51,51,Hyderabad,Telangana,17.224481,78.470636,2023-02-23,7:00,7,Thursday,False,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,False,Moring,2023
52,52,Bangalore,Karnataka,12.863932,77.797043,2024-07-21,2:00,2,Sunday,True,urban,4,0,fog,low,15,low,drunk driving,major,1,0,False,Moring,2024
53,53,Mumbai,Maharashtra,19.090552,72.9844,2023-03-14,21:00,21,Tuesday,False,rural,1,1,rain,low,29,medium,poor road,minor,3,0,False,Night,2023
54,54,Chandigarh,Punjab,30.790067,76.805399,2024-09-30,3:00,3,Monday,False,highway,5,1,rain,low,25,low,weather,major,3,1,False,Moring,2024
55,55,Delhi,Delhi,28.502883,77.165457,2022-11-17,6:00,6,Thursday,False,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,False,Moring,2022
56,56,Chandigarh,Punjab,30.774233,76.72531,2023-09-07,0:00,0,Thursday,False,urban,3,0,clear,high,40,low,distraction,major,2,1,False,Moring,2023
57,57,Mumbai,Maharashtra,19.232608,72.869852,2023-06-04,6:00,6,Sunday,True,urban,6,0,fog,low,21,medium,weather,major,2,1,False,Moring,2023
58,58,Chennai,Tamil Nadu,12.959773,80.153419,2022-06-28,2:00,2,Tuesday,False,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,False,Moring,2022
59,59,Chennai,Tamil Nadu,12.985135,80.226248,2025-03-28,23:00,23,Friday,False,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,False,Night,2025
60,60,Mumbai,Maharashtra,19.061169,72.872827,2024-04-17,14:00,14,Wednesday,False,urban,5,1,clear,high,19,low,poor road,minor,2,0,False,Afternoon,2024
61,61,Delhi,Delhi,28.463133,76.976698,2024-12-31,9:00,9,Tuesday,False,rural,1,1,rain,medium,39,medium,distraction,major,1,0,True,Moring,2024
62,62,Chennai,Tamil Nadu,12.852053,80.121615,2023-05-13,14:00,14,Saturday,True,urban,6,1,rain,medium,27,high,distraction,major,3,1,False,Afternoon,2023
63,63,Chennai,Tamil Nadu,13.017299,80.224813,2024-04-02,0:00,0,Tuesday,False,rural,3,0,fog,low,26,low,overspeeding,major,4,1,False,Moring,2024
64,64,Pune,Maharashtra,18.560997,73.811173,2024-08-17,23:00,23,Saturday,True,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,False,Night,2024
65,65,Chennai,Tamil Nadu,12.97141,80.197487,2023-12-11,7:00,7,Monday,False,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,False,Moring,2023
66,66,Mumbai,Maharashtra,19.264702,72.886613,2022-09-22,10:00,10,Thursday,False,highway,1,1,clear,high,21,high,poor road,major,2,2,True,Moring,2022
67,67,Mumbai,Maharashtra,18.811624,72.877651,2022-02-27,5:00,5,Sunday,True,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,False,Moring,2022
68,68,Chandigarh,Punjab,30.674067,76.774623,2024-04-23,21:00,21,Tuesday,False,rural,4,0,clear,high,36,high,distraction,major,3,1,False,Night,2024
69,69,Mumbai,Maharashtra,19.208566,72.896859,2023-05-26,6:00,6,Friday,False,highway,6,1,fog,low,34,low,poor road,major,1,1,False,Moring,2023
70,70,Hyderabad,Telangana,17.530898,78.305176,2024-11-26,19:00,19,Tuesday,False,highway,2,1,fog,low,38,low,poor road,minor,3,3,True,Evening,2024
71,71,Pune,Maharashtra,18.442448,73.878574,2024-03-03,14:00,14,Sunday,True,urban,4,0,fog,low,19,high,drunk driving,major,2,2,False,Afternoon,2024
72,72,Delhi,Delhi,28.47365,77.060874,2023-03-24,11:00,11,Friday,False,highway,2,1,clear,high,21,high,weather,fatal,5,5,False,Moring,2023
73,73,Bangalore,Karnataka,12.984625,77.767823,2022-09-21,6:00,6,Wednesday,False,rural,1,1,rain,low,19,low,distraction,fatal,1,1,False,Moring,2022
74,74,Bangalore,Karnataka,12.954595,77.488507,2024-02-25,13:00,13,Sunday,True,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,False,Afternoon,2024
75,75,Chandigarh,Punjab,30.78901,76.887359,2022-05-02,19:00,19,Monday,False,urban,1,1,clear,high,23,high,weather,minor,4,0,True,Evening,2022
76,76,Pune,Maharashtra,18.528017,73.850369,2023-09-05,6:00,6,Tuesday,False,urban,4,1,rain,low,39,low,poor road,minor,2,1,False,Moring,2023
77,77,Pune,Maharashtra,18.549441,73.804096,2025-04-14,5:00,5,Monday,False,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,False,Moring,2025
78,78,Chennai,Tamil Nadu,12.919435,80.207627,2023-03-28,15:00,15,Tuesday,False,urban,2,1,fog,low,27,high,poor road,fatal,5,5,False,Afternoon,2023
79,79,Delhi,Delhi,28.813866,77.149528,2025-01-31,21:00,21,Friday,False,urban,6,1,fog,low,19,high,poor road,minor,3,1,False,Night,2025
80,80,Chandigarh,Punjab,30.658767,76.836989,2024-03-01,14:00,14,Friday,False,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,False,Afternoon,2024
81,81,Pune,Maharashtra,18.499609,73.81264,2024-06-14,6:00,6,Friday,False,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,False,Moring,2024
82,82,Kolkata,West Bengal,22.641847,88.381884,2024-11-05,22:00,22,Tuesday,False,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,False,Night,2024
83,83,Hyderabad,Telangana,17.386509,78.48781,2022-04-11,0:00,0,Monday,False,rural,1,1,rain,medium,38,low,weather,major,3,0,False,Moring,2022
84,84,Hyderabad,Telangana,17.335804,78.271751,2023-04-21,3:00,3,Friday,False,urban,5,1,fog,low,40,low,weather,major,2,2,False,Moring,2023
85,85,Chandigarh,Punjab,30.645926,76.791403,2025-01-23,17:00,17,Thursday,False,highway,2,0,fog,low,36,medium,weather,major,3,2,True,Evening,2025
86,86,Chennai,Tamil Nadu,12.93952,80.153093,2023-12-07,14:00,14,Thursday,False,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,False,Afternoon,2023
87,87,Hyderabad,Telangana,17.512138,78.471549,2024-04-24,6:00,6,Wednesday,False,highway,1,0,rain,low,30,low,poor road,minor,5,5,False,Moring,2024
88,88,Mumbai,Maharashtra,18.803193,72.982741,2022-09-28,4:00,4,Wednesday,False,highway,3,0,fog,low,19,low,distraction,minor,5,4,False,Moring,2022
89,89,Delhi,Delhi,28.838921,76.991482,2025-02-16,22:00,22,Sunday,True,highway,3,0,clear,high,24,high,distraction,minor,2,1,False,Night,2025
90,90,Hyderabad,Telangana,17.470165,78.472552,2022-09-24,2:00,2,Saturday,True,urban,3,1,rain,medium,20,medium,weather,major,1,1,False,Moring,2022
91,91,Pune,Maharashtra,18.537548,73.723176,2022-10-14,23:00,23,Friday,False,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,False,Night,2022
92,92,Bangalore,Karnataka,12.941515,77.674347,2024-11-14,5:00,5,Thursday,False,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,False,Moring,2024
93,93,Pune,Maharashtra,18.467712,73.954984,2025-03-14,9:00,9,Friday,False,rural,1,1,fog,low,18,high,poor road,minor,5,5,True,Moring,2025
94,94,Hyderabad,Telangana,17.44697,78.449607,2023-09-19,18:00,18,Tuesday,False,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,True,Evening,2023
95,95,Mumbai,Maharashtra,19.250366,72.762997,2024-06-06,22:00,22,Thursday,False,urban,4,0,fog,low,35,medium,poor road,major,4,4,False,Night,2024
96,96,Kolkata,West Bengal,22.48522,88.321126,2022-09-05,2:00,2,Monday,False,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,False,Moring,2022
97,97,Chandigarh,Punjab,30.662289,76.860184,2024-08-03,7:00,7,Saturday,True,rural,4,0,clear,high,27,medium,weather,major,3,0,False,Moring,2024
98,98,Pune,Maharashtra,18.687205,73.858717,2023-03-22,17:00,17,Wednesday,False,highway,4,0,clear,high,16,medium,distraction,major,4,4,True,Evening,2023
99,99,Chandigarh,Punjab,30.729891,76.786151,2022-04-17,6:00,6,Sunday,True,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,False,Moring,2022
100,100,Chennai,Tamil Nadu,12.810721,80.19735,2023-08-05,18:00,18,Saturday,True,urban,2,1,fog,low,36,high,poor road,minor,4,2,True,Evening,2023
101,101,Kolkata,West Bengal,22.537913,88.323836,2023-07-16,23:00,23,Sunday,True,highway,5,1,rain,low,40,high,distraction,minor,3,1,False,Night,2023
102,102,Bangalore,Karnataka,13.045999,77.520041,2023-04-24,12:00,12,Monday,False,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,False,Afternoon,2023
103,103,Bangalore,Karnataka,12.848361,77.433807,2022-10-26,7:00,7,Wednesday,False,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,False,Moring,2022
104,104,Bangalore,Karnataka,13.057964,77.590444,2023-12-10,20:00,20,Sunday,True,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,False,Night,2023
105,105,Mumbai,Maharashtra,18.990602,72.799954,2024-12-09,20:00,20,Monday,False,highway,2,1,rain,low,23,low,drunk driving,major,1,0,False,Night,2024
106,106,Hyderabad,Telangana,17.426893,78.488724,2024-03-01,13:00,13,Friday,False,highway,4,1,fog,low,39,low,distraction,minor,5,1,False,Afternoon,2024
107,107,Mumbai,Maharashtra,18.838523,72.976824,2023-11-22,22:00,22,Wednesday,False,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,False,Night,2023
108,108,Chennai,Tamil Nadu,13.10543,80.11737,2023-12-20,4:00,4,Wednesday,False,rural,6,0,clear,high,29,medium,weather,minor,2,1,False,Moring,2023
109,109,Delhi,Delhi,28.519189,76.859451,2024-02-03,2:00,2,Saturday,True,rural,1,0,rain,low,27,high,poor road,minor,1,0,False,Moring,2024
110,110,Bangalore,Karnataka,12.94701,77.785423,2024-11-19,16:00,16,Tuesday,False,rural,1,0,clear,high,34,low,distraction,minor,5,5,False,Evening,2024
111,111,Hyderabad,Telangana,17.49119,78.27063,2025-02-15,8:00,8,Saturday,True,urban,4,0,rain,low,31,high,poor road,minor,3,0,True,Moring,2025
112,112,Chennai,Tamil Nadu,12.812744,80.226751,2022-09-07,20:00,20,Wednesday,False,highway,2,0,fog,low,17,low,drunk driving,major,5,2,False,Night,2022
113,113,Chennai,Tamil Nadu,13.126298,80.273119,2024-07-07,9:00,9,Sunday,True,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,True,Moring,2024
114,114,Kolkata,West Bengal,22.686595,88.399393,2024-08-31,15:00,15,Saturday,True,rural,6,0,fog,low,31,medium,weather,fatal,1,1,False,Afternoon,2024
115,115,Hyderabad,Telangana,17.416162,78.471995,2022-02-12,11:00,11,Saturday,True,rural,4,1,rain,low,17,high,distraction,minor,3,1,False,Moring,2022
116,116,Chennai,Tamil Nadu,12.829772,80.266893,2023-11-23,5:00,5,Thursday,False,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,False,Moring,2023
117,117,Chandigarh,Punjab,30.703228,76.745141,2022-04-20,22:00,22,Wednesday,False,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,False,Night,2022
118,118,Pune,Maharashtra,18.671835,73.77906,2023-06-09,13:00,13,Friday,False,urban,3,0,rain,low,18,low,poor road,minor,1,1,False,Afternoon,2023
119,119,Chandigarh,Punjab,30.780406,76.759015,2024-11-28,19:00,19,Thursday,False,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,True,Evening,2024
120,120,Bangalore,Karnataka,12.863873,77.573049,2023-06-23,14:00,14,Friday,False,rural,3,0,clear,high,20,high,drunk driving,major,4,0,False,Afternoon,2023
121,121,Chandigarh,Punjab,30.612508,76.8941,2024-09-07,11:00,11,Saturday,True,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,False,Moring,2024
122,122,Pune,Maharashtra,18.613759,73.739609,2022-11-08,17:00,17,Tuesday,False,highway,5,0,clear,high,16,high,weather,major,4,1,True,Evening,2022
123,123,Kolkata,West Bengal,22.615566,88.245733,2022-09-02,13:00,13,Friday,False,urban,4,1,clear,high,25,low,poor road,major,3,1,False,Afternoon,2022
124,124,Chennai,Tamil Nadu,12.917829,80.107956,2022-09-09,0:00,0,Friday,False,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,False,Moring,2022
125,125,Chandigarh,Punjab,30.669447,76.798384,2024-07-14,13:00,13,Sunday,True,urban,5,1,fog,low,38,medium,weather,minor,4,3,False,Afternoon,2024
126,126,Chennai,Tamil Nadu,13.023148,80.267046,2023-10-24,22:00,22,Tuesday,False,rural,4,0,clear,high,36,low,distraction,major,3,3,False,Night,2023
127,127,Hyderabad,Telangana,17.469395,78.426902,2022-06-12,23:00,23,Sunday,True,urban,1,0,rain,low,17,medium,poor road,major,3,1,False,Night,2022
128,128,Pune,Maharashtra,18.445959,73.866259,2022-12-05,13:00,13,Monday,False,rural,4,1,clear,high,20,medium,distraction,major,2,2,False,Afternoon,2022
129,129,Bangalore,Karnataka,12.810804,77.644324,2023-04-12,15:00,15,Wednesday,False,highway,3,0,fog,low,31,low,weather,minor,1,1,False,Afternoon,2023
130,130,Kolkata,West Bengal,22.605036,88.211938,2022-07-06,20:00,20,Wednesday,False,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,False,Night,2022
131,131,Chandigarh,Punjab,30.749547,76.70627,2024-01-17,5:00,5,Wednesday,False,urban,1,0,fog,low,24,high,poor road,minor,4,2,False,Moring,2024
132,132,Delhi,Delhi,28.8028,76.835013,2022-06-27,15:00,15,Monday,False,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,False,Afternoon,2022
133,133,Pune,Maharashtra,18.571932,73.724503,2025-01-21,3:00,3,Tuesday,False,highway,2,0,clear,high,31,low,drunk driving,major,3,0,False,Moring,2025
134,134,Bangalore,Karnataka,12.913562,77.619006,2023-10-30,19:00,19,Monday,False,highway,3,0,rain,medium,34,medium,poor road,major,4,3,True,Evening,2023
135,135,Chandigarh,Punjab,30.771578,76.798125,2023-09-24,20:00,20,Sunday,True,highway,3,1,rain,medium,25,high,weather,fatal,5,5,False,Night,2023
136,136,Chennai,Tamil Nadu,12.910539,80.183088,2023-07-08,12:00,12,Saturday,True,highway,5,1,clear,high,28,high,poor road,minor,3,2,False,Afternoon,2023
137,137,Hyderabad,Telangana,17.57514,78.484234,2023-07-23,0:00,0,Sunday,True,highway,5,0,rain,low,17,low,distraction,major,1,0,False,Moring,2023
138,138,Pune,Maharashtra,18.697073,73.828047,2022-11-28,4:00,4,Monday,False,highway,2,0,clear,high,20,high,weather,minor,5,2,False,Moring,2022
139,139,Mumbai,Maharashtra,19.257558,72.75368,2024-02-13,10:00,10,Tuesday,False,highway,3,1,fog,low,30,high,weather,major,3,0,True,Moring,2024
140,140,Chennai,Tamil Nadu,13.099257,80.226182,2024-09-21,8:00,8,Saturday,True,urban,4,0,rain,low,32,high,poor road,major,1,0,True,Moring,2024
141,141,Chandigarh,Punjab,30.612831,76.810119,2024-11-23,22:00,22,Saturday,True,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,False,Night,2024
142,142,Bangalore,Karnataka,12.851488,77.589232,2024-10-22,21:00,21,Tuesday,False,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,False,Night,2024
143,143,Kolkata,West Bengal,22.408139,88.322983,2023-12-27,21:00,21,Wednesday,False,rural,3,0,rain,medium,29,high,distraction,minor,1,0,False,Night,2023
144,144,Kolkata,West Bengal,22.470344,88.318475,2022-06-05,6:00,6,Sunday,True,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,False,Moring,2022
145,145,Kolkata,West Bengal,22.672696,88.400666,2023-01-27,15:00,15,Friday,False,highway,2,0,clear,high,28,low,distraction,major,2,1,False,Afternoon,2023
146,146,Chennai,Tamil Nadu,13.145041,80.133716,2022-05-06,7:00,7,Friday,False,highway,5,0,fog,low,15,high,weather,major,1,0,False,Moring,2022
147,147,Kolkata,West Bengal,22.524367,88.453597,2024-07-31,1:00,1,Wednesday,False,urban,5,0,rain,medium,26,low,weather,minor,2,0,False,Moring,2024
148,148,Bangalore,Karnataka,13.055067,77.418018,2023-10-19,11:00,11,Thursday,False,rural,4,1,rain,low,30,low,distraction,minor,3,2,False,Moring,2023
149,149,Delhi,Delhi,28.654528,76.925723,2022-10-05,2:00,2,Wednesday,False,urban,4,1,rain,low,35,low,weather,major,5,2,False,Moring,2022
150,150,Bangalore,Karnataka,13.174917,77.602348,2023-11-04,21:00,21,Saturday,True,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,False,Night,2023
151,151,Pune,Maharashtra,18.479329,73.88208,2022-11-06,22:00,22,Sunday,True,rural,6,0,clear,high,33,low,poor road,fatal,5,5,False,Night,2022
152,152,Chandigarh,Punjab,30.65561,76.831544,2024-04-25,3:00,3,Thursday,False,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,False,Moring,2024
153,153,Bangalore,Karnataka,13.052805,77.617588,2024-07-23,14:00,14,Tuesday,False,urban,3,1,rain,medium,26,medium,weather,minor,5,0,False,Afternoon,2024
154,154,Delhi,Delhi,28.834402,77.209459,2022-12-23,12:00,12,Friday,False,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,False,Afternoon,2022
155,155,Mumbai,Maharashtra,19.090344,72.902108,2022-03-28,10:00,10,Monday,False,urban,6,0,clear,high,35,high,weather,fatal,2,2,True,Moring,2022
156,156,Chennai,Tamil Nadu,13.196352,80.138535,2023-02-04,7:00,7,Saturday,True,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,False,Moring,2023
157,157,Chennai,Tamil Nadu,13.152998,80.258685,2024-09-15,22:00,22,Sunday,True,rural,1,0,fog,low,19,high,distraction,major,4,2,False,Night,2024
158,158,Delhi,Delhi,28.671166,77.064188,2023-02-25,3:00,3,Saturday,True,rural,6,1,clear,high,27,high,distraction,minor,4,3,False,Moring,2023
159,159,Kolkata,West Bengal,22.535434,88.290362,2025-01-09,8:00,8,Thursday,False,highway,5,0,clear,high,33,low,distraction,major,1,1,True,Moring,2025
160,160,Pune,Maharashtra,18.522797,73.933778,2022-05-17,20:00,20,Tuesday,False,urban,4,0,fog,low,17,high,poor road,fatal,1,1,False,Night,2022
161,161,Bangalore,Karnataka,12.828296,77.719866,2025-01-31,1:00,1,Friday,False,rural,3,1,fog,low,35,low,overspeeding,major,2,0,False,Moring,2025
162,162,Pune,Maharashtra,18.435528,73.934128,2023-05-20,11:00,11,Saturday,True,rural,1,1,rain,low,19,low,poor road,major,5,1,False,Moring,2023
163,163,Chennai,Tamil Nadu,12.921984,80.115306,2023-03-24,18:00,18,Friday,False,rural,5,1,clear,high,21,medium,poor road,major,5,5,True,Evening,2023
164,164,Chennai,Tamil Nadu,12.841819,80.258805,2022-05-06,0:00,0,Friday,False,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,False,Moring,2022
165,165,Delhi,Delhi,28.492703,76.815886,2022-04-12,7:00,7,Tuesday,False,highway,1,1,fog,low,17,high,weather,major,4,3,False,Moring,2022
