temperature,hour,is_peak_hour,is_weekend,traffic_signal,lanes,festival,risk_score,weather_fog,weather_rain,visibility_low,visibility_medium,traffic_density_low,traffic_density_medium,road_type_rural,road_type_urban
37,6,0,0,0,2,0,0.25,0,1,0,1,0,1,0,0
30,22,0,0,1,1,0,0.45,1,0,1,0,1,0,1,0
38,0,0,0,1,1,0,0.25,0,1,0,1,1,0,1,0
40,3,0,0,1,5,0,0.45,1,0,1,0,1,0,0,1
36,17,1,0,0,2,0,0.6,1,0,1,0,0,1,0,0
25,14,0,0,1,2,0,0.45,0,1,1,0,0,1,1,0
30,6,0,0,0,1,0,0.45,0,1,1,0,1,0,0,0
19,4,0,0,0,3,0,0.45,1,0,1,0,1,0,0,0
24,22,0,1,0,3,0,0.3,0,0,0,0,0,0,0,0
20,2,0,1,1,3,0,0.25,0,1,0,1,0,1,0,1
38,23,0,0,0,3,0,0.45,0,1,0,1,0,0,1,0
35,5,0,0,0,6,0,0.65,1,0,1,0,0,0,1,0
18,9,1,0,1,1,0,0.8,1,0,1,0,0,0,1,0
19,18,1,0,0,1,0,0.8,1,0,1,0,0,0,0,1
35,22,0,0,0,4,0,0.45,1,0,1,0,0,1,0,1
37,2,0,0,1,4,0,0.1,0,0,0,0,1,0,1,0
27,7,0,1,0,4,0,0.1,0,0,0,0,0,1,1,0
16,17,1,0,0,4,0,0.25,0,0,0,0,0,1,0,0
34,6,0,1,0,2,0,0.45,1,0,1,0,1,0,0,0
36,18,1,1,1,2,0,0.8,1,0,1,0,0,0,0,1
40,23,0,1,1,5,0,0.65,0,1,1,0,0,0,0,0
26,12,0,0,1,4,0,0.45,0,1,0,1,1,0,0,1
25,7,0,0,0,2,0,0.1,0,0,0,0,0,1,1,0
40,20,0,1,0,2,0,0.1,0,0,0,0,0,1,0,0
23,20,0,0,1,2,0,0.45,0,1,1,0,1,0,0,0
39,13,0,0,1,4,0,0.45,1,0,1,0,1,0,0,0
15,22,0,0,1,1,0,0.25,0,1,0,1,1,0,1,0
29,4,0,0,0,6,0,0.1,0,0,0,0,0,1,1,0
27,2,0,1,0,1,0,0.65,0,1,1,0,0,0,1,0
34,16,0,0,0,1,0,0.1,0,0,0,0,1,0,1,0
31,8,1,1,0,4,0,0.8,0,1,1,0,0,0,0,1
17,20,0,0,0,2,0,0.45,1,0,1,0,1,0,0,0
34,9,1,1,1,6,0,0.25,0,0,0,0,0,1,0,0
31,15,0,1,0,6,0,0.65,1,0,1,0,0,1,1,0
17,11,0,1,1,4,0,0.65,0,1,1,0,0,0,1,0
24,5,0,0,0,3,0,0.65,0,1,1,0,0,0,1,0
36,22,0,0,0,5,0,0.65,0,1,1,0,0,0,0,0
18,13,0,0,0,3,0,0.45,0,1,1,0,1,0,0,1
26,19,1,0,0,1,0,0.6,0,1,0,1,0,0,1,0
20,14,0,0,0,3,0,0.3,0,0,0,0,0,0,1,0
15,11,0,1,1,2,0,0.25,0,1,0,1,0,1,0,0
16,17,1,0,0,5,0,0.45,0,0,0,0,0,0,0,0
25,13,0,0,1,4,0,0.1,0,0,0,0,1,0,0,1
40,0,0,0,0,6,0,0.45,0,1,0,1,0,0,0,0
38,13,0,1,1,5,0,0.45,1,0,1,0,0,1,0,1
36,22,0,0,0,4,0,0.1,0,0,0,0,1,0,1,0
17,23,0,1,0,1,0,0.45,0,1,1,0,0,1,0,1
20,13,0,0,1,4,0,0.1,0,0,0,0,0,1,1,0
31,15,0,0,0,3,0,0.45,1,0,1,0,1,0,0,0
22,20,0,0,1,5,0,0.25,0,1,0,1,0,1,0,1
24,5,0,0,0,1,0,0.65,1,0,1,0,0,0,0,1
19,15,0,0,0,4,0,0.45,0,1,0,1,1,0,0,0
31,3,0,0,0,2,0,0.1,0,0,0,0,1,0,0,0
34,19,1,0,0,3,0,0.4,0,1,0,1,0,1,0,0
25,20,0,1,1,3,0,0.65,0,1,0,1,0,0,0,0
28,12,0,1,1,5,0,0.3,0,0,0,0,0,0,0,0
17,0,0,1,0,5,0,0.45,0,1,1,0,1,0,0,0
20,4,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0
30,10,1,0,1,3,0,0.8,1,0,1,0,0,0,0,0
32,8,1,1,0,4,0,0.8,0,1,1,0,0,0,0,1
17,22,0,1,1,4,0,0.25,0,1,0,1,0,1,0,0
36,21,0,0,1,2,0,0.65,1,0,1,0,0,0,0,1
29,21,0,0,0,3,0,0.45,0,1,0,1,0,0,1,0
38,6,0,1,1,3,0,0.1,0,0,0,0,0,1,0,1
28,15,0,0,0,2,0,0.1,0,0,0,0,1,0,0,0
15,7,0,0,0,5,0,0.65,1,0,1,0,0,0,0,0
26,1,0,0,0,5,0,0.25,0,1,0,1,1,0,0,1
30,11,0,0,1,4,0,0.45,0,1,1,0,1,0,1,0
35,2,0,0,1,4,0,0.45,0,1,1,0,1,0,0,1
29,21,0,1,1,4,0,0.45,0,1,1,0,0,1,1,0
33,22,0,1,0,6,0,0.3,0,0,0,0,1,0,1,0
25,3,0,0,1,6,0,0.45,0,1,0,1,1,0,0,0
26,14,0,0,1,3,0,0.25,0,1,0,1,0,1,0,1
33,12,0,0,1,5,0,0.65,1,0,1,0,0,1,1,0
35,10,1,0,0,6,0,0.65,0,0,0,0,0,0,0,1
32,7,0,1,0,5,0,0.45,1,0,1,0,0,1,0,1
19,22,0,1,0,1,0,0.65,1,0,1,0,0,0,1,0
27,3,0,1,1,6,0,0.3,0,0,0,0,0,0,1,0
33,8,1,0,0,5,0,0.25,0,0,0,0,1,0,0,0
17,20,0,0,0,4,0,0.85,1,0,1,0,0,0,0,1
35,1,0,0,1,3,0,0.45,1,0,1,0,1,0,1,0
19,11,0,1,1,1,0,0.45,0,1,1,0,1,0,1,0
21,18,1,0,1,5,0,0.25,0,0,0,0,0,1,1,0
37,0,0,0,1,2,0,0.45,0,1,1,0,1,0,1,0
17,7,0,0,1,1,0,0.65,1,0,1,0,0,0,0,0
16,4,0,1,0,4,0,0.65,0,1,1,0,0,1,1,0
33,17,1,0,1,1,0,0.45,0,0,0,0,0,1,0,1
29,18,1,0,1,3,0,0.45,0,0,0,0,0,0,0,1
37,7,0,1,1,5,0,0.45,0,1,1,0,1,0,0,0
38,6,0,1,1,6,0,0.65,0,1,1,0,0,1,0,0
37,21,0,0,1,1,0,0.45,1,0,1,0,1,0,0,0
19,10,1,0,0,3,0,0.8,0,1,1,0,0,0,1,0
27,21,0,0,1,1,0,0.65,0,1,1,0,0,0,0,0
27,4,0,0,0,5,0,0.45,0,1,1,0,1,0,0,0
20,21,0,1,0,4,0,0.65,1,0,1,0,0,0,0,0
19,14,0,0,0,3,0,0.45,1,0,1,0,1,0,0,1
39,4,0,0,1,2,0,0.1,0,0,0,0,1,0,0,0
32,1,0,1,1,1,0,0.1,0,0,0,0,1,0,1,0
20,21,0,0,0,3,0,0.3,0,0,0,0,0,1,0,1
20,19,1,0,0,6,0,0.6,0,1,0,1,0,0,0,1
33,22,0,0,1,6,0,0.45,0,1,1,0,1,0,0,0
39,13,0,0,0,5,0,0.65,0,1,1,0,0,0,0,1
21,20,0,0,1,1,0,0.45,1,0,1,0,0,1,0,1
23,8,1,0,0,2,0,0.45,0,0,0,0,0,0,0,0
23,19,1,0,1,2,0,0.25,0,0,0,0,1,0,0,1
34,10,1,0,0,6,0,0.8,0,1,1,0,0,0,1,0
31,8,1,0,0,1,0,0.8,1,0,1,0,0,0,0,1
22,0,0,0,0,4,0,0.1,0,0,0,0,1,0,0,1
27,8,1,0,0,6,0,0.6,1,0,1,0,1,0,0,0
36,19,1,0,1,3,0,1.0,0,1,1,0,0,0,0,1
16,19,1,0,1,4,0,0.8,0,1,1,0,0,0,0,1
21,15,0,0,1,2,0,0.45,0,1,0,1,0,0,0,1
34,7,0,0,1,5,0,0.1,0,0,0,0,0,1,1,0
16,18,1,1,0,4,0,0.8,0,1,1,0,0,0,0,1
17,2,0,0,0,4,0,0.45,1,0,1,0,1,0,0,1
20,16,0,0,0,5,0,0.45,0,1,1,0,1,0,0,1
36,2,0,0,1,5,0,0.3,0,0,0,0,0,0,0,1
36,0,0,0,1,2,0,0.1,0,0,0,0,1,0,0,1
40,9,1,1,1,5,0,0.6,0,1,0,1,1,0,0,0
19,0,0,0,0,6,0,0.45,1,0,1,0,1,0,0,0
27,15,0,1,0,1,0,0.45,0,1,1,0,1,0,1,0
22,3,0,0,0,6,0,0.1,0,0,0,0,0,1,0,0
34,19,1,0,0,6,0,0.8,0,1,1,0,0,0,0,0
15,18,1,1,0,1,0,0.8,0,1,1,0,0,0,0,1
37,10,1,1,1,1,0,0.4,0,1,0,1,1,0,0,1
22,14,0,0,1,5,0,0.3,0,0,0,0,0,0,0,1
34,22,0,0,1,2,0,0.65,1,0,1,0,0,0,0,1
16,10,1,1,0,6,0,0.8,1,0,1,0,0,0,1,0
19,23,0,1,0,4,0,0.65,0,1,1,0,0,0,0,0
22,18,1,0,0,2,0,0.45,0,0,0,0,0,0,0,1
24,0,0,0,0,3,0,0.45,1,0,1,0,1,0,0,0
31,15,0,0,1,5,0,0.45,1,0,1,0,1,0,0,1
22,20,0,1,1,2,0,0.45,0,1,1,0,1,0,1,0
29,2,0,0,1,1,0,0.45,0,1,1,0,0,1,0,0
28,8,1,1,1,3,0,0.8,1,0,1,0,0,0,0,1
34,2,0,0,0,5,0,0.1,0,0,0,0,1,0,1,0
35,18,1,1,0,3,0,0.8,0,1,1,0,0,0,1,0
19,17,1,0,1,5,0,0.8,1,0,1,0,0,0,0,0
25,23,0,1,0,5,0,0.65,0,1,0,1,0,0,0,0
33,21,0,0,1,4,0,0.3,0,0,0,0,0,0,1,0
17,18,1,1,0,4,0,0.6,1,0,1,0,0,1,0,0
29,19,1,0,0,4,0,0.8,1,0,1,0,0,0,0,0
34,23,0,0,1,5,0,0.45,1,0,1,0,0,1,1,0
35,10,1,0,1,6,0,0.6,1,0,1,0,0,1,0,0
36,6,0,0,1,2,0,0.45,0,1,0,1,0,0,1,0
26,22,0,1,1,4,0,0.25,0,1,0,1,0,1,0,0
28,18,1,0,1,2,0,0.6,0,1,1,0,0,1,1,0
35,3,0,0,0,6,0,0.1,0,0,0,0,0,1,0,1
38,13,0,1,0,4,0,0.3,0,0,0,0,0,0,1,0
28,11,0,1,1,2,0,0.65,0,1,1,0,0,0,0,1
39,0,0,0,0,5,0,0.45,1,0,1,0,1,0,1,0
23,0,0,0,1,3,0,0.3,0,0,0,0,1,0,0,1
23,9,1,1,1,1,0,0.6,0,1,1,0,0,1,0,1
32,14,0,1,0,3,0,0.45,1,0,1,0,1,0,0,0
16,7,0,0,0,3,0,0.65,1,0,1,0,0,0,0,1
30,17,1,1,0,2,0,0.25,0,0,0,0,0,1,0,1
31,9,1,0,1,3,0,0.25,0,0,0,0,0,1,0,0
26,21,0,0,0,3,0,0.65,1,0,1,0,0,0,0,1
29,6,0,0,0,1,0,0.3,0,0,0,0,1,0,0,1
20,17,1,0,0,1,0,0.8,0,1,1,0,0,0,1,0
26,7,0,0,0,2,0,0.65,0,1,1,0,0,0,0,1
40,4,0,0,0,3,0,0.45,1,0,1,0,0,1,1,0
40,8,1,1,0,5,0,0.25,0,0,0,0,0,1,1,0
20,11,0,0,0,1,0,0.45,0,1,0,1,0,0,1,0
28,16,0,0,0,3,0,0.45,1,0,1,0,0,1,1,0
23,15,0,1,1,3,0,0.45,1,0,1,0,0,1,0,0
26,5,0,1,0,1,0,0.65,1,0,1,0,0,0,1,0
35,8,1,0,0,3,0,0.8,0,1,1,0,0,0,0,1
15,11,0,0,0,2,0,0.45,0,1,0,1,0,0,0,0
30,11,0,0,0,2,0,0.65,1,0,1,0,0,0,0,0
24,6,0,1,1,4,0,0.45,1,0,1,0,0,1,0,0
28,20,0,0,0,3,0,0.1,0,0,0,0,0,1,1,0
37,2,0,1,0,5,0,0.45,0,1,1,0,1,0,1,0
37,20,0,0,0,3,0,0.65,1,0,1,0,0,0,0,0
29,6,0,1,0,4,0,0.1,0,0,0,0,1,0,0,0
40,18,1,1,0,5,0,0.4,0,1,0,1,1,0,0,1
26,1,0,0,0,5,0,0.65,1,0,1,0,0,0,0,0
21,15,0,0,0,5,0,0.65,1,0,1,0,0,0,0,1
34,11,0,0,0,4,0,0.5,0,0,0,0,0,0,1,0
31,14,0,0,1,6,0,0.45,1,0,1,0,1,0,1,0
25,7,0,0,0,4,0,0.1,0,0,0,0,0,1,1,0
30,12,0,0,0,6,0,0.45,1,0,1,0,0,1,1,0
21,17,1,1,1,6,0,0.25,0,0,0,0,0,1,0,0
20,14,0,1,1,4,0,0.25,0,1,0,1,1,0,0,0
25,0,0,0,1,3,0,0.5,0,0,0,0,0,0,1,0
30,1,0,0,0,3,0,0.45,1,0,1,0,1,0,0,1
31,20,0,0,1,4,0,0.45,1,0,1,0,0,1,0,0
34,17,1,0,0,3,0,0.8,1,0,1,0,0,0,1,0
16,18,1,1,0,5,0,0.25,0,0,0,0,0,1,1,0
35,3,0,0,0,6,0,0.65,0,1,1,0,1,0,0,1
32,22,0,0,0,4,0,0.65,0,1,1,0,0,1,0,0
24,13,0,0,0,4,0,0.1,0,0,0,0,1,0,0,1
32,21,0,0,0,2,0,0.45,1,0,1,0,1,0,1,0
29,17,1,0,1,2,0,0.8,1,0,1,0,0,0,1,0
30,2,0,0,1,1,0,0.45,0,1,1,0,1,0,1,0
19,14,0,0,0,5,0,0.65,1,0,1,0,0,0,0,1
30,1,0,1,1,3,0,0.65,0,1,1,0,1,0,1,0
27,20,0,1,0,4,0,0.45,1,0,1,0,0,1,0,0
36,5,0,0,1,6,0,0.45,1,0,1,0,1,0,0,0
30,9,1,1,1,4,0,0.6,1,0,1,0,0,1,0,0
30,9,1,1,0,3,0,0.8,0,1,1,0,0,0,0,1
16,11,0,0,1,1,0,0.65,0,1,1,0,0,0,0,1
33,2,0,0,0,6,0,0.65,1,0,1,0,0,0,0,1
24,18,1,0,1,5,0,0.6,0,1,1,0,0,1,0,0
17,22,0,0,1,2,0,0.45,0,1,0,1,0,0,0,0
15,11,0,0,0,5,0,0.3,0,0,0,0,0,0,1,0
18,9,1,0,0,1,0,0.25,0,0,0,0,0,1,0,0
38,4,0,1,1,3,0,0.45,0,1,1,0,1,0,1,0
34,14,0,1,1,5,0,0.25,0,1,0,1,0,1,0,0
15,10,1,0,1,3,0,0.6,1,0,1,0,1,0,0,0
35,11,0,0,1,6,0,0.65,1,0,1,0,0,1,0,1
37,5,0,0,1,1,0,0.45,0,1,0,1,0,1,0,0
27,9,1,0,0,1,0,0.6,1,0,1,0,0,1,1,0
28,0,0,0,0,5,0,0.45,1,0,1,0,0,1,0,0
22,22,0,0,0,2,0,0.45,1,0,1,0,1,0,0,1
37,16,0,0,1,5,0,0.25,0,1,0,1,0,1,0,0
19,23,0,0,0,3,0,0.45,1,0,1,0,1,0,0,1
38,23,0,1,0,5,0,0.3,0,0,0,0,0,0,1,0
31,12,0,1,0,4,0,0.45,0,1,0,1,0,0,0,1
20,16,0,1,1,1,0,0.45,0,1,0,1,0,0,1,0
33,9,1,0,1,6,0,0.8,0,1,1,0,0,1,1,0
31,1,0,0,1,3,0,0.1,0,0,0,0,1,0,1,0
23,23,0,0,0,1,0,0.1,0,0,0,0,1,0,0,0
25,9,1,0,1,3,0,0.45,0,0,0,0,0,0,0,1
37,9,1,1,1,4,0,0.8,1,0,1,0,0,0,0,0
19,12,0,0,1,4,0,0.65,1,0,1,0,0,1,0,1
17,2,0,0,0,6,0,0.65,1,0,1,0,0,0,0,0
21,1,0,0,0,2,0,0.45,1,0,1,0,1,0,0,1
36,11,0,0,1,2,0,0.1,0,0,0,0,0,1,0,0
22,21,0,0,1,3,0,0.65,1,0,1,0,0,0,1,0
20,7,0,1,0,2,0,0.25,0,1,0,1,0,1,1,0
15,12,0,0,1,1,0,0.45,0,1,0,1,0,0,1,0
39,6,0,0,1,4,0,0.45,1,0,1,0,0,1,0,1
39,2,0,0,1,5,0,0.1,0,0,0,0,1,0,0,0
19,22,0,0,1,1,0,0.25,0,1,0,1,1,0,1,0
39,7,0,0,0,4,0,0.65,1,0,1,0,0,1,1,0
20,1,0,0,1,2,0,0.45,0,1,1,0,1,0,0,1
26,16,0,0,0,2,0,0.1,0,0,0,0,0,1,1,0
19,2,0,0,1,5,0,0.3,0,0,0,0,0,0,0,0
26,15,0,1,1,3,0,0.65,1,0,1,0,1,0,0,1
27,18,1,0,1,5,0,0.8,1,0,1,0,0,0,1,0
20,18,1,0,0,3,0,0.45,0,0,0,0,0,0,0,0
34,16,0,1,1,6,0,0.1,0,0,0,0,1,0,0,0
17,21,0,0,1,3,0,0.1,0,0,0,0,1,0,1,0
39,4,0,0,0,5,0,0.1,0,0,0,0,1,0,0,0
32,15,0,0,1,5,1,0.55,1,0,1,0,1,0,0,1
31,14,0,0,1,4,0,0.25,0,1,0,1,1,0,1,0
23,14,0,1,1,5,0,0.1,0,0,0,0,0,1,1,0
32,3,0,0,1,6,0,0.45,1,0,1,0,1,0,0,1
37,3,0,0,0,5,0,0.45,1,0,1,0,1,0,0,0
21,8,1,0,0,6,0,0.8,1,0,1,0,0,1,0,1
27,20,0,1,0,3,0,0.3,0,0,0,0,1,0,0,0
29,11,0,0,1,6,0,0.45,0,1,1,0,1,0,0,1
38,21,0,1,0,2,0,0.1,0,0,0,0,1,0,1,0
27,22,0,0,1,2,0,0.3,0,0,0,0,0,0,0,0
27,3,0,0,1,6,0,0.45,1,0,1,0,1,0,1,0
30,11,0,0,1,1,0,0.45,0,1,1,0,0,1,0,1
21,9,1,0,1,5,0,0.6,1,0,1,0,0,1,0,1
22,20,0,0,1,3,0,0.45,1,0,1,0,0,1,0,1
20,18,1,0,0,5,0,0.6,1,0,1,0,0,1,1,0
30,21,0,1,0,4,0,0.1,0,0,0,0,1,0,1,0
28,15,0,0,0,3,0,0.45,0,1,1,0,0,1,0,1
25,9,1,1,1,6,0,0.6,0,1,0,1,0,0,1,0
39,15,0,0,1,6,0,0.65,1,0,1,0,0,0,0,1
27,11,0,0,0,3,1,0.75,1,0,1,0,1,0,1,0
17,12,0,1,1,2,0,0.25,0,1,0,1,0,1,1,0
25,8,1,1,0,2,0,0.6,1,0,1,0,0,1,0,0
26,19,1,0,0,4,0,0.8,1,0,1,0,0,1,0,1
22,1,0,1,0,3,0,0.65,0,1,1,0,0,0,0,1
30,0,0,1,0,4,0,0.45,0,1,1,0,1,0,0,0
40,15,0,0,1,1,0,0.25,0,1,0,1,1,0,0,0
30,19,1,0,0,3,0,0.45,0,0,0,0,0,1,1,0
18,13,0,1,0,5,0,0.1,0,0,0,0,1,0,1,0
22,19,1,0,1,1,0,0.4,0,1,0,1,0,1,1,0
28,10,1,0,0,4,0,0.45,0,0,0,0,0,0,0,1
37,15,0,1,1,4,0,0.65,0,1,1,0,0,0,0,1
25,7,0,1,1,1,0,0.1,0,0,0,0,0,1,0,1
22,18,1,0,1,5,0,0.8,0,1,1,0,0,0,0,0
38,13,0,0,0,1,0,0.65,1,0,1,0,0,0,0,0
38,19,1,0,1,3,0,0.25,0,0,0,0,0,1,1,0
28,7,0,0,1,3,0,0.45,0,1,0,1,0,0,0,0
23,6,0,0,1,1,0,0.45,0,1,0,1,0,0,0,0
27,15,0,1,0,3,0,0.45,1,0,1,0,0,1,1,0
25,14,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1
40,20,0,1,0,5,0,0.1,0,0,0,0,1,0,0,1
17,17,1,0,1,1,0,0.8,1,0,1,0,0,0,0,1
39,18,1,0,0,1,0,0.8,1,0,1,0,0,0,0,0
27,13,0,0,1,1,0,0.65,1,0,1,0,0,0,1,0
29,1,0,0,1,3,0,0.45,1,0,1,0,1,0,0,1
39,21,0,0,1,5,0,0.25,0,1,0,1,1,0,1,0
21,2,0,0,0,2,0,0.1,0,0,0,0,0,1,0,1
33,19,1,1,1,2,0,0.25,0,0,0,0,0,1,0,1
28,2,0,0,1,5,0,0.45,1,0,1,0,1,0,1,0
37,11,0,0,1,4,0,0.65,1,0,1,0,0,0,0,1
27,20,0,1,0,2,0,0.3,0,0,0,0,0,0,1,0
25,14,0,0,1,6,0,0.65,0,1,1,0,0,0,0,1
20,8,1,0,1,4,0,0.45,0,0,0,0,0,0,0,1
34,22,0,0,0,4,0,0.1,0,0,0,0,0,1,0,1
29,23,0,0,1,6,0,0.65,1,0,1,0,0,0,0,0
34,23,0,0,1,4,0,0.85,1,0,1,0,0,0,0,0
31,17,1,0,1,5,0,0.8,0,1,0,1,0,0,0,0
16,4,0,0,0,4,0,0.45,1,0,1,0,1,0,0,0
28,14,0,0,0,1,0,0.65,1,0,1,0,0,0,0,0
20,14,0,0,1,1,0,0.1,0,0,0,0,1,0,0,0
39,10,1,0,1,6,0,0.45,0,0,0,0,0,0,0,1
19,15,0,0,1,4,0,0.25,0,1,0,1,0,1,1,0
23,6,0,1,1,4,0,0.3,0,0,0,0,0,0,0,1
27,8,1,0,0,6,0,0.45,0,0,0,0,0,0,0,1
18,8,1,1,0,6,0,0.6,0,1,0,1,0,0,0,1
18,11,0,1,0,4,0,0.45,1,0,1,0,0,1,0,0
27,1,0,0,0,6,0,0.45,1,0,1,0,1,0,0,1
33,10,1,1,0,6,0,0.8,1,0,1,0,0,0,1,0
38,8,1,0,0,2,0,0.65,0,0,0,0,0,0,1,0
36,6,0,0,0,2,0,0.3,0,0,0,0,0,0,0,1
37,5,0,0,1,6,0,0.45,1,0,1,0,0,1,0,0
40,21,0,0,0,4,0,0.65,0,1,1,0,0,1,1,0
23,21,0,0,1,1,0,0.45,1,0,1,0,0,1,0,0
34,8,1,1,0,2,0,0.45,0,0,0,0,0,0,1,0
20,16,0,1,1,4,0,0.45,0,1,0,1,0,1,0,0
24,20,0,0,1,1,0,0.45,0,1,1,0,0,1,0,1
31,17,1,0,1,2,0,0.45,0,0,0,0,0,0,0,1
27,22,0,0,1,4,0,0.85,1,0,1,0,0,0,1,0
26,7,0,1,0,1,0,0.65,0,1,1,0,0,0,0,0
32,4,0,0,1,1,0,0.1,0,0,0,0,1,0,0,0
28,6,0,0,1,5,0,0.65,1,0,1,0,0,0,0,0
